Job Title,Company,Location,Time Of Work,Job Description
Senior Outsystems Developer -UAE,LINK Development -,"Dubai, United Arab Emirates ",Full Time,Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · T-SQL · OLAP · BI · SQL · SSRS · ETL · Power BI · Data Warehouse
Head of Data & Analytics,eVision -,"New Cairo, Cairo, Egypt ",Full Time,Senior Management · 9 - 15 Yrs of Exp · IT/Software Development · Data Analysis · Data Management
Data Engineer,Carina Wear -,"New Cairo, Cairo, Egypt ",Full Time,Entry Level · 0 - 1 Yrs of Exp · Analyst/Research · Engineering - Other · Engineering · Data Engineering · Data Warehousing · Data Warehouse · Analysis · SQL · Computer Science · Information Technology (IT)
Science Teacher,Nefertari International School -,"Cairo, Egypt ",Full Time,Experienced · 2+ Yrs of Exp · R&D/Science · Education/Teaching · Education · Science · Teaching · Planning · Classroom Management · teachers
Data Analyst,ITCan -,"Rehab City, Cairo, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · Analyst/Research · BI · Analysis · analytical · Computer Science · Data Analysis · Development · Engineering · Information Technology (IT) · Power BI
SAP Business Analyst,El Teriak Industrial Group -,"Cairo, Egypt ",Full Time,Experienced · 5 - 10 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · business · Business Analysis · Business Intelligence · Computer Science · Data Analysis · excel
Audit & Compliance Senior Supervisor,Xceed Contact Center -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 5 - 6 Yrs of Exp · Operations/Management · Strategy/Consulting · Engineering - Telecom/Technology · Compliance · Computer Science · Engineering · Auditing · Quality Auditing · audit & Compliance · Data Governance (DG)
Data Modeler,Capleo Globle -,"Cairo, Egypt ",Full Time,Experienced · 3 - 10 Yrs of Exp · IT/Software Development · ETL · Data Modeling
"Manager, Student Information Systems",University of Doha for Science and Technology (UDST) -,"Doha, Qatar ",Full Time,Manager · 8+ Yrs of Exp · IT/Software Development · Operations/Management · Education/Teaching · Information Technology (IT) · Computer Science · ERP · Engineering · Computer Engineering · Customer Service · Information Technology
Specialist Geotechnical & Civil Engineer/Resident Engineer -Tunneling (KSA),WSP -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Project/Program Management · engineering · civil engineering · complementary infrastructure · structural engineering · construction · civil · earthworks
Document Control Specialist,Air Products (Middle East) FZE -,"Jizan, Saudi Arabia ",Full Time,Not specified · Administration · Logistics/Supply Chain · Quality · Administration · Microsoft Office · Quality Control · Document Control · Quality Assurance · Admin · Quality
Applications Development Consultant (.NET),Mekdam Holding Group -,"Doha, Qatar ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · SQL · Engineering · Computer Engineering
Business Analyst,Aman -,"6th of October, Giza, Egypt ",Full Time,Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Business Analysis · Information Technology (IT) · Computer Science · IT · SQL · systems analysis · Technical Writing
Lead Systems Engineer,Air Products (Middle East) FZE -,"Jizan, Saudi Arabia ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software Engineering · Linux · Installation
Product Manager (Automotive Sector),Nile Projects & Trading -,"6th of October, Giza, Egypt ",Full Time,Manager · 5 - 7 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Sales/Retail · Communication · Computer Science · Information Technology (IT) · Engineering · Product Management · Software Development · Sales
Senior Laravel Developer,Road9 Media -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Laravel · Information Technology (IT) · RESTful · PHP · Computer Science · Database · MySQL
IT Operation Team Lead,Caduceus Lane -,"San Stefano, Alexandria, Egypt ",Full Time,Experienced · 7 - 10 Yrs of Exp · males_only · IT/Software Development · IT Service Management · Information Technology (IT) · Computer Science · Software Development · Information Systems · CCNA · Cloud Computing · ITIL · MCSA
"VB.C#.NET, 3.5/4.0 framework, ASP.NET Developer",Career Raiser -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · computer science · information technology (it) · asp.net · c# · .net · mvc · sql
HRIS and Reporting Analyst,Borr Drilling -,"Dubai, United Arab Emirates ",Full Time,Not specified · Accounting/Finance · Customer Service/Support · Analyst/Research · Analysis · Finance · Accounting · Reporting · Financial Analysis · Call Center · Microsoft Office
Monitoring Assistant SC,World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified · Administration · IT/Software Development · Engineering - Telecom/Technology · microsoft office · engineering · administration · information technology (it) · management · english · admin
Cyber Security Engineer,Almoosa Specialist Hospital -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Security · Networking · Computer Engineering · Cisco
Specialist BI Developer - Team Lead,Giza Arabia Systems -,"Cairo, Egypt ",Full Time,Not specified · Business Development · IT/Software Development · Sales/Retail · Business Development · Sales · Sales Skills · Sales Target · Marketing · Information Technology (IT) · Customer Service
